Timestamp for sample frequency every 1 min,Temperature_Celsius,Umidità Relativa
2/25/2018 5:46,18.7018,50.1523
2/25/2018 5:47,18.6803,50.1523
2/25/2018 5:48,18.6803,50.1829
2/25/2018 5:49,18.6803,50.1829
2/25/2018 5:50,18.6803,50.2134
2/25/2018 5:51,18.6803,50.2134
2/25/2018 5:52,18.6696,50.2439
2/25/2018 5:53,18.6696,50.2439
2/25/2018 5:54,18.6589,50.2439
2/25/2018 5:55,18.6589,50.2744
2/25/2018 5:56,18.6589,50.2744
2/25/2018 5:57,18.6589,50.3049
2/25/2018 5:58,18.6482,50.3049
2/25/2018 5:59,18.6482,50.3354
2/25/2018 6:00,18.6482,50.3354
2/25/2018 6:01,18.6374,50.3354
2/25/2018 6:02,18.6374,50.3354
2/25/2018 6:03,18.6374,50.3049
2/25/2018 6:04,18.6374,50.2439
2/25/2018 6:05,18.6267,50.2134
2/25/2018 6:06,18.6267,50.1829
2/25/2018 6:07,18.616,50.1523
2/25/2018 6:08,18.616,50.1218
2/25/2018 6:09,18.6053,50.1218
2/25/2018 6:10,18.6053,50.1218
2/25/2018 6:11,18.6053,50.1218
2/25/2018 6:12,18.5945,50.1218
2/25/2018 6:13,18.5945,50.0913
2/25/2018 6:14,18.5945,50.0303
2/25/2018 6:15,18.5838,49.9998
2/25/2018 6:16,18.5838,49.9998
2/25/2018 6:17,18.5838,49.9998
2/25/2018 6:18,18.5731,49.9998
2/25/2018 6:19,18.5731,49.9998
2/25/2018 6:20,18.5731,49.9692
2/25/2018 6:21,18.5731,49.9387
2/25/2018 6:22,18.5731,49.9387
2/25/2018 6:23,18.5731,49.8777
2/25/2018 6:24,18.5731,49.8167
2/25/2018 6:25,18.5731,49.7556
2/25/2018 6:26,18.5624,49.6946
2/25/2018 6:27,18.5624,49.6946
2/25/2018 6:28,18.5731,49.6641
2/25/2018 6:29,18.5731,49.6641
2/25/2018 6:30,18.5624,49.6641
2/25/2018 6:31,18.5731,49.6641
2/25/2018 6:32,18.5731,49.6335
2/25/2018 6:33,18.5731,49.6335
2/25/2018 6:34,18.5731,49.6335
2/25/2018 6:35,18.5838,49.6641
2/25/2018 6:36,18.5945,49.6641
2/25/2018 6:37,18.6053,49.6641
2/25/2018 6:38,18.6053,49.6641
2/25/2018 6:39,18.616,49.6335
2/25/2018 6:40,18.6374,49.6335
2/25/2018 6:41,18.6374,49.6335
2/25/2018 6:42,18.6482,49.6335
2/25/2018 6:43,18.6589,49.6335
2/25/2018 6:44,18.6696,49.6335
2/25/2018 6:45,18.6803,49.7251
2/25/2018 6:46,18.7125,49.8167
2/25/2018 6:47,18.7447,49.8472
2/25/2018 6:48,18.8198,50.8237
2/25/2018 6:49,18.8412,50.5491
2/25/2018 6:50,18.8519,50.366
2/25/2018 6:51,18.8519,50.2439
2/25/2018 6:52,18.8627,50.1523
2/25/2018 6:53,18.8627,49.9692
2/25/2018 6:54,18.8627,49.7861
2/25/2018 6:55,18.8519,49.5725
2/25/2018 6:56,18.8519,49.4199
2/25/2018 6:57,18.8519,49.2368
2/25/2018 6:58,18.8734,50.7932
2/25/2018 6:59,18.8519,50.7627
2/25/2018 7:00,18.8198,50.9153
2/25/2018 7:01,18.7661,50.0303
2/25/2018 7:02,18.6267,48.1687
2/25/2018 7:03,18.4444,46.7344
2/25/2018 7:04,18.1977,45.5747
2/25/2018 7:05,17.9296,45.6357
2/25/2018 7:06,17.7044,45.7883
2/25/2018 7:07,17.5113,45.9409
2/25/2018 7:08,17.329,46.0325
2/25/2018 7:09,17.1681,46.124
2/25/2018 7:10,17.0287,46.2156
2/25/2018 7:11,16.8571,46.0325
2/25/2018 7:12,16.7069,46.002
2/25/2018 7:13,16.5675,46.1545
2/25/2018 7:14,16.4388,46.2766
2/25/2018 7:15,16.3101,46.0325
2/25/2018 7:16,16.1921,46.1545
2/25/2018 7:17,16.0741,46.4292
2/25/2018 7:18,16.0205,44.0793
2/25/2018 7:19,15.6022,42.7976
2/25/2018 7:20,15.3341,43.8657
2/25/2018 7:21,15.1947,44.6287
2/25/2018 7:22,15.1196,45.239
2/25/2018 7:23,15.0231,45.7883
2/25/2018 7:24,14.9373,46.1851
2/25/2018 7:25,14.8622,46.4292
2/25/2018 7:26,14.8086,46.6733
2/25/2018 7:27,14.7335,46.8259
